,Genesis Flood / Noah,Gilgamesh Tablet XI / Utanapishtim,Atrahasis Flood,Eridu Genesis / Ziusudra,Deucalion and Pyrrha,Manu and the Fish
Genesis Flood / Noah,0.9999999999999999,0.8061672657565289,0.5911381402455211,0.5984213466347169,0.5944184833375667,0.5943180487554042
Gilgamesh Tablet XI / Utanapishtim,0.8061672657565289,1.0000000000000002,0.6671345390179442,0.7439848879604436,0.542709253038248,0.5598123172175429
Atrahasis Flood,0.5911381402455211,0.6671345390179442,1.0,0.6666820928734801,0.4054424270396914,0.36569902784185315
Eridu Genesis / Ziusudra,0.5984213466347169,0.7439848879604436,0.6666820928734801,0.9999999999999999,0.6308866919011829,0.5296953722252523
Deucalion and Pyrrha,0.5944184833375667,0.542709253038248,0.4054424270396914,0.6308866919011829,1.0,0.6313826635223763
Manu and the Fish,0.5943180487554042,0.5598123172175429,0.36569902784185315,0.5296953722252523,0.6313826635223763,1.0000000000000004
